Date,Tmax,Tmin,Tavg,Prcp,Wspd,Wdir,Estacion,Provincia
,32.0,25.4,27.8,2.9,7.5,,La Cabaña,Bocas del Toro
,31.1,25.8,28.1,2.9,11.1,,La Cabaña,Bocas del Toro
,31.1,24.8,27.9,8.3,9.5,,La Cabaña,Bocas del Toro
,31.0,25.7,27.8,2.5,8.0,,La Cabaña,Bocas del Toro
,29.5,25.2,27.2,10.1,11.1,,La Cabaña,Bocas del Toro
,30.0,24.5,26.5,7.4,11.4,,La Cabaña,Bocas del Toro
,32.0,25.5,27.7,3.9,9.7,,La Cabaña,Bocas del Toro
,31.0,25.7,27.7,1.6,7.8,,La Cabaña,Bocas del Toro
,32.0,25.5,28.0,3.7,7.6,,La Cabaña,Bocas del Toro
,32.0,25.1,28.2,7.1,8.7,,La Cabaña,Bocas del Toro
,30.7,25.2,26.9,6.2,11.9,,La Cabaña,Bocas del Toro
,30.4,24.6,27.0,10.8,12.1,,La Cabaña,Bocas del Toro
,29.3,25.3,27.0,7.3,12.8,,La Cabaña,Bocas del Toro
,32.0,25.7,27.5,16.6,10.6,,La Cabaña,Bocas del Toro
,34.0,25.0,28.3,0.7,8.0,,La Cabaña,Bocas del Toro
,32.0,25.8,28.3,1.7,7.0,,La Cabaña,Bocas del Toro
,32.0,25.7,28.2,4.2,7.0,,La Cabaña,Bocas del Toro
,32.0,25.3,27.8,7.2,8.8,,La Cabaña,Bocas del Toro
,31.0,24.7,27.6,4.0,9.0,,La Cabaña,Bocas del Toro
,29.5,25.0,26.8,12.6,15.6,,La Cabaña,Bocas del Toro
,31.0,25.0,27.2,11.7,15.2,,La Cabaña,Bocas del Toro
,30.0,24.9,26.8,10.5,15.1,,La Cabaña,Bocas del Toro
,30.0,24.7,27.1,6.2,12.6,,La Cabaña,Bocas del Toro
,31.0,25.6,27.7,5.0,13.4,,La Cabaña,Bocas del Toro
,31.0,25.2,27.9,3.1,15.0,,La Cabaña,Bocas del Toro
,31.3,25.0,27.2,18.6,16.0,,La Cabaña,Bocas del Toro
,32.0,25.0,27.6,14.8,10.5,,La Cabaña,Bocas del Toro
,31.0,25.7,27.3,5.6,6.6,,La Cabaña,Bocas del Toro
,31.0,25.5,27.6,3.5,7.1,,La Cabaña,Bocas del Toro
,30.0,25.5,27.4,0.7,9.7,,La Cabaña,Bocas del Toro
,31.0,25.5,28.0,4.0,9.3,,La Cabaña,Bocas del Toro
,30.8,25.5,27.7,12.2,7.4,,La Cabaña,Bocas del Toro
,31.0,25.8,27.8,4.2,9.3,,La Cabaña,Bocas del Toro
,31.0,24.8,27.9,0.1,6.4,,La Cabaña,Bocas del Toro
,31.0,26.0,27.6,4.5,13.1,,La Cabaña,Bocas del Toro
,31.0,25.5,27.6,2.7,8.0,,La Cabaña,Bocas del Toro
,29.0,24.1,26.1,26.4,13.2,,La Cabaña,Bocas del Toro
,30.0,24.1,26.1,29.2,8.3,,La Cabaña,Bocas del Toro
,29.1,24.6,27.0,0.2,9.3,,La Cabaña,Bocas del Toro
,31.0,25.1,27.3,2.5,6.8,,La Cabaña,Bocas del Toro
,30.0,25.7,27.6,6.9,9.6,,La Cabaña,Bocas del Toro
,28.0,25.0,26.2,4.8,9.2,,La Cabaña,Bocas del Toro
,28.0,24.7,26.1,14.9,6.2,,La Cabaña,Bocas del Toro
,31.0,24.8,27.0,3.6,6.4,,La Cabaña,Bocas del Toro
,29.1,24.5,26.6,14.3,10.1,,La Cabaña,Bocas del Toro
,30.0,24.0,27.1,2.4,9.5,,La Cabaña,Bocas del Toro
